1-B ,Nazimabad,0
1-B , Bara Maidan,1
1-B , Lasbela,2
1-B , Lawrence Road,3
1-B , Barness Street,4
1-B , Bandar Road,5
1-B , Tower,6
1-C ,M.P.R Colony,0
1-C , Qasba Colony,1
1-C , Banaras Colony,2
1-C , Pathan Colony,3
1-C , S.I.T.E,4
1-C , Habib Bank,5
1-C , Bismillah Hotel,6
1-C , Gandhi Garden,7
1-C , Garden Road,8
1-C , Plaza,9
1-C , Regal,10
1-C , Shahrah-e-Liaquat,11
1-C , National Museum,12
1-C , Tower,13
1-C , Sultanabad,14
1-D ,Ittehad Town,0
1-D , Orangi Township,1
1-D , Banaras Colony,2
1-D , Pathan Colony,3
1-D , Petrol Pump,4
1-D , Liaquatabad No.10,5
1-D , Liaquatabad,6
1-D , Post Office,7
1-D , Teen Hatti,8
1-D , Jehangir Road,9
1-D , Empress Market,10
1-D , Cantt Station,11
1-E ,manzoor colony,0
1-E , bismillah pul,1
1-E , mehmoodabad no 6,2
1-E , mehmoodabad no.5,3
1-E , mehmoodabad no.4,4
1-E , mehmoodabad no.3,5
1-E , mehmoodabad no.2,6
1-E , mehmoodabad no.1,7
1-E , corporation,8
1-E , parsi colony,9
1-E , kalapul,10
1-E , jinnah hospital,11
1-E , regent plaza,12
1-E , lucky star,13
1-E , Saddar,14
1-E , numaish,15
1-E , gurumandir,16
1-E , patel para,17
1-E , lasbela,18
1-E , golimar,19
1-E , petrol pump,20
1-E , nazimabad,21
1-E , habib bank,22
1-E , orangi no 4,23
1-E , orangi no 10,24
1-E , faqeer colony,25
1-F ,Naval Colony,0
1-F , Mauripur,1
1-F , Gulbai Chowk,2
1-F , Tower,3
1-F , Juna Market,4
1-F , Ramswami,5
1-F , Valika,6
1-F , Orangi Township No.10,7
1-G ,M.W Tower,0
1-G , Frere Road,1
1-G , Saddar,2
1-G , Numaish,3
1-G , Guru Mandir,4
1-G , Teen Hatti,5
1-G , Liaquatabad No.10,6
1-G , Petrol Pump,7
1-G , Nazimabad No.2,8
1-G , Gandhi Chowk,9
1-G , Paposh Nagar,10
1-G , Abdullah College,11
1-G , Metro Cinema,12
